DATAFLOW,LAST UPDATE,freq,unit,n_portion,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,IE,2019,19.8,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,IS,2014,35.3,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,IT,2014,22.8,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,IT,2019,23.6,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,LT,2014,41.4,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,LT,2019,41.1,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,LU,2014,36.4,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,LU,2019,50.0,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,LV,2014,49.0,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,LV,2019,54.5,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,MT,2014,35.8,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,MT,2019,36.7,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,NL,2014,46.2,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,NL,2019,42.0,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,NO,2014,31.3,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,PL,2014,33.2,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,PL,2019,37.6,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,PT,2014,20.6,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,PT,2019,27.3,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,RO,2014,65.1,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,RO,2019,73.6,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,SE,2014,36.3,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,SE,2019,37.4,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,SI,2014,26.9,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,SI,2019,31.9,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,SK,2014,46.5,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,SK,2019,41.3,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,TR,2014,33.8,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,0,T,TOTAL,NAT,UK,2014,21.4,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,AT,2014,6.7,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,AT,2019,5.1,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,BE,2014,12.7,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,BE,2019,15.3,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,BG,2014,4.3,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,BG,2019,5.0,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,CY,2014,16.0,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,CY,2019,8.3,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,CZ,2014,9.1,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,CZ,2019,7.7,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,DE,2014,9.6,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,DE,2019,10.8,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,DK,2014,25.5,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,DK,2019,22.3,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,EE,2014,17.1,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,EE,2019,13.2,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,EL,2014,7.7,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,EL,2019,12.5,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,ES,2014,12.4,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,ES,2019,11.0,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,EU27_2020,2014,11.7,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,EU27_2020,2019,12.2,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,EU28,2014,14.1,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,FI,2014,13.0,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,FI,2019,13.2,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,FR,2014,15.0,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,FR,2019,19.2,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,HR,2014,7.0,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,HR,2019,9.9,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,HU,2014,10.0,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,HU,2019,8.2,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,IE,2014,28.7,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,IE,2019,31.8,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,IS,2014,9.9,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,IT,2014,11.8,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,IT,2019,10.6,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,LT,2014,14.1,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,LT,2019,16.0,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,LU,2014,14.5,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,LU,2019,12.2,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,LV,2014,11.2,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,LV,2019,7.2,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,MT,2014,16.7,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,MT,2019,11.3,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,NL,2014,24.7,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,NL,2019,28.9,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,NO,2014,6.0,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,PL,2014,10.1,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,PL,2019,8.5,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,PT,2014,18.3,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,PT,2019,14.3,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,RO,2014,3.5,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,RO,2019,2.4,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,SE,2014,8.9,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,SE,2019,7.4,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,SI,2014,7.5,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,SI,2019,5.3,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,SK,2014,10.9,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,SK,2019,8.5,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,TR,2014,3.0,
ESTAT:HLTH_EHIS_FV3C(1.0),08/11/22 23:00:00,A,PC,GE5,T,TOTAL,NAT,UK,2014,32.9,
