DATAFLOW,LAST UPDATE,freq,unit,frequenc,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,EL,2019,5.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,ES,2014,16.0,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,ES,2019,13.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,EU27_2020,2014,9.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,EU27_2020,2019,8.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,EU28,2014,9.4,e
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,FI,2014,2.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,FR,2019,10.0,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,HR,2014,9.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,HR,2019,10.2,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,HU,2014,7.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,HU,2019,6.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,IE,2014,2.0,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,IE,2019,2.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,IS,2014,0.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,IT,2014,14.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,IT,2019,12.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,LT,2014,0.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,LT,2019,0.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,LU,2014,8.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,LU,2019,8.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,LV,2014,1.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,LV,2019,1.2,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,MT,2014,6.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,MT,2019,7.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,NL,2019,8.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,NO,2014,2.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,PL,2014,1.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,PL,2019,1.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,PT,2014,24.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,PT,2019,20.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,RO,2014,3.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,RO,2019,2.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,SE,2014,2.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,SE,2019,1.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,SI,2014,7.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,SI,2019,6.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,SK,2014,3.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,SK,2019,4.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,TR,2014,0.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,DAY,T,TOTAL,NAT,UK,2014,7.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,AT,2014,8.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,AT,2019,10.2,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,BE,2014,12.2,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,BE,2019,15.2,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,BG,2014,23.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,BG,2019,18.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,CY,2014,44.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,CY,2019,20.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,CZ,2014,4.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,CZ,2019,5.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,DE,2014,8.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,DE,2019,13.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,DK,2014,5.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,DK,2019,5.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,EE,2014,7.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,EE,2019,6.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,EL,2014,17.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,EL,2019,13.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,ES,2014,18.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,ES,2019,20.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,EU27_2020,2014,16.0,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,EU27_2020,2019,16.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,EU28,2014,14.9,e
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,FI,2014,9.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,FR,2019,15.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,HR,2014,30.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,HR,2019,28.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,HU,2014,24.2,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,HU,2019,22.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,IE,2014,12.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,IE,2019,14.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,IS,2014,11.2,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,IT,2014,28.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,IT,2019,30.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,LT,2014,8.0,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,LT,2019,9.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,LU,2014,11.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,LU,2019,10.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,LV,2014,7.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,LV,2019,8.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,MT,2014,13.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,MT,2019,19.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,NL,2019,10.0,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,NO,2014,0,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,PL,2014,12.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,PL,2019,9.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,PT,2014,20.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,PT,2019,22.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,RO,2014,19.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,RO,2019,16.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,SE,2014,11.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,SE,2019,12.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,SI,2014,12.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,SI,2019,15.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,SK,2014,17.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,SK,2019,15.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,TR,2014,71.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,NVR,T,TOTAL,NAT,UK,2014,7.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,AT,2014,32.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,AT,2019,35.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,BE,2014,38.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,BE,2019,41.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,BG,2014,19.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,BG,2019,23.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,CY,2014,17.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,CY,2019,16.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,CZ,2014,34.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,CZ,2019,33.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,DE,2014,39.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,DE,2019,32.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,DK,2014,40.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,DK,2019,40.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,EE,2014,19.2,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,EE,2019,22.0,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,EL,2014,23.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,EL,2019,25.2,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,ES,2014,22.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,ES,2019,23.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,EU27_2020,2014,27.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,EU27_2020,2019,29.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,EU28,2014,29.7,e
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,FI,2014,36.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,FR,2019,35.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,HR,2014,14.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,HR,2019,18.2,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,HU,2014,16.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,HU,2019,19.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,IE,2014,42.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,IE,2019,40.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,IS,2014,19.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,IT,2014,24.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,IT,2019,29.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,LT,2014,12.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,LT,2019,12.2,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,LU,2014,41.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,LU,2019,44.1,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,LV,2014,13.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,LV,2019,12.4,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,MT,2014,28.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,MT,2019,27.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,NL,2019,47.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,NO,2014,30.5,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,PL,2014,16.0,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,PL,2019,16.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,PT,2014,19.0,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,PT,2019,21.6,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,RO,2014,15.2,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,RO,2019,19.0,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,SE,2014,37.7,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,SE,2019,37.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,SI,2014,26.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,SI,2019,24.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,SK,2014,15.9,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,SK,2019,19.3,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,TR,2014,2.8,
ESTAT:HLTH_EHIS_AL1C(1.0),08/11/22 23:00:00,A,PC,WEEK,T,TOTAL,NAT,UK,2014,45.6,
